id	title	description	link	image_link	additional_image_link	price	sale_price	sale_price_effective_date	expiration_date	availability	shipping_weight	brand	condition	product_type	google_product_category	mpn
84	Turkey Chili	Lean, seasoned ground turkey is combined with pinto beans in a spicy red sauce for a delicious change of pace.	http://www.hackleyhealthmanagement.com/turkey-chili?utm_source=google_shopping&utm_medium=feed	http://www.hackleyhealthmanagement.com/media/catalog/product/t/u/turkeychili_closeup.jpg	http://www.hackleyhealthmanagement.com/media/catalog/product/t/u/turkeychili_box.jpg,http://www.hackleyhealthmanagement.com/media/catalog/product/t/u/turkeychili_wvegsideview.jpg,http://www.hackleyhealthmanagement.com/media/catalog/product/t/u/turkeychili_wveg.jpg	3.65 USD	 	 	2016-03-26	in stock	0.6000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	entree-tc
86	HMR 500 - Chocolate	The original HMR Shake that started it all It’s easy to whip up a rich, thick, delicious Shake at home, at the office, or almost anywhere with our convenient single-serving HMR 500 packets.	http://www.hackleyhealthmanagement.com/hmr500?utm_source=google_shopping&utm_medium=feed&149=5	http://www.hackleyhealthmanagement.com/media/catalog/product/5/0/500-chocolate_1.jpg	 	40.50 USD	 	 	2016-03-26	in stock	1.5000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes	Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes	shake-500-c
85	HMR 500 - Vanilla	The original HMR Shake that started it all It’s easy to whip up a rich, thick, delicious Shake at home, at the office, or almost anywhere with our convenient single-serving HMR 500 packets.	http://www.hackleyhealthmanagement.com/hmr500?utm_source=google_shopping&utm_medium=feed&149=7	http://www.hackleyhealthmanagement.com/media/catalog/product/5/0/500-vanilla_1.jpg	 	40.50 USD	 	 	2016-03-26	in stock	1.5000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes	Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes	shake-500-v
88	Vegetable Stew with Beef	This full-flavored stew combines tender chunks of beef with farm-fresh potatoes, onions, carrots, peas, and celery.	http://www.hackleyhealthmanagement.com/vegetable-stew-with-beef?utm_source=google_shopping&utm_medium=feed	http://www.hackleyhealthmanagement.com/media/catalog/product/v/e/vegetablestewwithbeef_closeup.jpg	http://www.hackleyhealthmanagement.com/media/catalog/product/v/e/vegetablestewwithbeef_box.jpg,http://www.hackleyhealthmanagement.com/media/catalog/product/v/e/vegetablestewwithbeef_wvegsideview.jpg,http://www.hackleyhealthmanagement.com/media/catalog/product/v/e/vegetablestewwithbeef_wveg.jpg	3.65 USD	 	 	2016-03-26	in stock	0.6000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	entree-vbs
90	HMR 800 - Chocolate	Our thickest HMR Shake So smooth and rich it’s almost decadent! HMR 800 blends into a rich, creamy Shake with a few more calories and extra protein.	http://www.hackleyhealthmanagement.com/hmr800?utm_source=google_shopping&utm_medium=feed&149=5	http://www.hackleyhealthmanagement.com/media/catalog/product/8/0/800-chocolate-box_1.jpg	 	42.50 USD	 	 	2016-03-26	in stock	2.2000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes	Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes	shake-800-c
89	HMR 800 - Vanilla	Our thickest HMR Shake So smooth and rich it’s almost decadent! HMR 800 blends into a rich, creamy Shake with a few more calories and extra protein.	http://www.hackleyhealthmanagement.com/hmr800?utm_source=google_shopping&utm_medium=feed&149=7	http://www.hackleyhealthmanagement.com/media/catalog/product/8/0/800-vanilla-box_1.jpg	 	42.50 USD	 	 	2016-03-26	in stock	2.2000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes	Health & Beauty > Health Care > Fitness & Nutrition > Nutrition Drinks & Shakes	shake-800-v
111	HMR Multigrain Cereal	HOT HMR&reg; Multigrain Cereal A deliciously hearty blend of oats, wheat, and corn, plus tangy currants and cranberries, chewy bits of apple, and just a hint of cinnamon in each generous serving.	http://www.hackleyhealthmanagement.com/hmr-multigrain-cereal?utm_source=google_shopping&utm_medium=feed	http://www.hackleyhealthmanagement.com/media/catalog/product/h/m/hmr-cereal-1.jpg	http://www.hackleyhealthmanagement.com/media/catalog/product/h/m/hmr-cereal-2.jpg,http://www.hackleyhealthmanagement.com/media/catalog/product/h/m/hmr-cereal-3.jpg,http://www.hackleyhealthmanagement.com/media/catalog/product/h/m/hmr-cereal-4.jpg,http://www.hackleyhealthmanagement.com/media/catalog/product/h/m/hmr-cereal-5.jpg	42.50 USD	 	 	2016-03-26	in stock	2.9000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	multigrain-cereal
112	HMR 500 Chicken Soup	HMR® 500 Chicken Soup - a great way to cut more calories from your diet and add variety at the same time.	http://www.hackleyhealthmanagement.com/hmr-500-chicken-soup?utm_source=google_shopping&utm_medium=feed	http://www.hackleyhealthmanagement.com/media/catalog/product/h/m/hmr-500-soup-1.jpg	http://www.hackleyhealthmanagement.com/media/catalog/product/h/m/hmr-500-soup-2.jpg,http://www.hackleyhealthmanagement.com/media/catalog/product/h/m/hmr-500-soup-3.jpg,http://www.hackleyhealthmanagement.com/media/catalog/product/h/m/hmr-500-soup-4.jpg	40.50 USD	 	 	2016-03-26	in stock	1.5000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	Soup-500
125	HMR Healthy Solutions Variety Pack	Not sure what to try first?Choose our variety pack and receive nutritional HMR Shakes, HMR entrees, HMR Soup, HMR Multi-Grain Cereal, BeneFit bars, and a bonus Healthy Solutions Diet Guide in one easy order.Add some fruits and vegetables to create some fun and interesting recipes.	http://www.hackleyhealthmanagement.com/kit-hs-variety?utm_source=google_shopping&utm_medium=feed	http://www.hackleyhealthmanagement.com/media/catalog/product/h/s/hs-variety-pack_1.png	 	130.00 USD	 	 	2016-03-26	in stock	10.0000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	kit-hs-variety
126	Omron HJ-321 Tri Axis Pedometer - Black	An accurate Omron Pedometer, like the HJ-321, is a partner that motivates you to take those extra steps toward better health and increased energy. Just wear it on your hip or place it in your bag or pocket. It accurately counts every step, using Omron’s renowned accelerometer technology.	http://www.hackleyhealthmanagement.com/ped-hj-321?utm_source=google_shopping&utm_medium=feed	http://www.hackleyhealthmanagement.com/media/catalog/product/h/j/hj321-lg.png	 	27.00 USD	 	 	2016-03-26	in stock	0.1000 lb	omron	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	ped-hj-321
142	Blender Bottle Sling - Black/Gray	BlenderBottle Sling Keep your shakes and drinks cold while your on the move. These handy insulated slings, made from durable neoprene, bring added style, portability, and functionality to the BlenderBottle line. *Fits 28 oz. SportMixer Blender Bottle	http://www.hackleyhealthmanagement.com/sling-assorted?utm_source=google_shopping&utm_medium=feed&92=78	http://www.hackleyhealthmanagement.com/media/catalog/product/b/b/bbis_28_bk_gy_1_1_2.jpg	 	5.49 USD	 	 	2016-03-26	in stock	0.2000 lb	blender bottle	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	sling-black-gray
143	Blender Bottle Sling - Red	BlenderBottle Sling Keep your shakes and drinks cold while your on the move. These handy insulated slings, made from durable neoprene, bring added style, portability, and functionality to the BlenderBottle line. *Fits 28 oz. SportMixer Blender Bottle	http://www.hackleyhealthmanagement.com/sling-assorted?utm_source=google_shopping&utm_medium=feed&92=19	http://www.hackleyhealthmanagement.com/media/catalog/product/b/b/bbis_28_rd_1.jpg	 	5.49 USD	 	 	2016-03-26	in stock	0.2000 lb	blender bottle	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	sling-red
182	Infuse Tumbler Cup With Colored Lid & Straw - Clear/Pink	20 oz. Acrylic double wall tumbler cup with H/C threaded lid and matching straw and infuser for hot or cold beverages.	http://www.hackleyhealthmanagement.com/infuse-tumbler-cup-with-colored-lid-straw-assorted-colors?utm_source=google_shopping&utm_medium=feed&92=17	http://www.hackleyhealthmanagement.com/media/catalog/product/p/i/pink-infuse_1.jpg	 	12.99 USD	10.50 USD	2016-03-02T00:00:00-05:00/2016-03-26T23:59:59-04:00	2016-03-26	in stock	0.8000 lb	infuse	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	infuse-pink-water-bottle
